Id,frequency,recency,T,predicted_purchases,monetary_value,predicted_avg_purchase,predicted_total_spent
fe403ffcf47b4efdf39874d181ae6da4,3.0,145.0,155.0,3.538327022644763,1270.0525,1159.231651412629,4101.740677698419
0b937997e6f55b43f95a14c1c6fe94e2,14.0,345.0,356.0,9.073500172022214,453.3626666666666,448.00159473448315,4064.9425468895593
24f05bfab01fef56ec049a828ebe20ab,3.0,48.0,65.0,4.926948741228803,885.2060000000001,815.814821971222,4019.4778101869124
ea6bd67206a400c56a02ef8f2e4bf01e,11.0,278.0,286.0,8.333596464028298,480.77000000000004,473.1203669716432,3942.794217254657
60b884e115b971ee52f550a8b64750f4,3.0,128.0,179.0,2.7934670330993336,1541.475,1401.4348529203996,3914.86206066955
6df09da9103ec49551e93232f684c323,3.0,78.0,78.0,5.0737021950255725,828.55,765.2579794669185,3882.691090182139
880474a82e33389ae7f377b2ea35bbdd,23.0,364.0,371.0,14.539901031578394,267.4388888888889,267.02342786680026,3882.494214296088
40f76eef131511bd16aaa2ff6e8ed2c6,5.0,59.0,72.0,7.5079599579002005,532.5583333333334,512.8531335203844,3850.480790754691
8b6aa340953dad198a9d60bd12abfcb9,12.0,318.0,325.0,8.377547948875169,464.4835714285714,457.9295610254331,3836.3268546979234
361251645f911412c958777a7068f8f4,10.0,293.0,301.0,7.3558864446921,530.8745454545455,520.7366270838733,3830.479496420948
1200a4df001756f0fc97e0142c069442,11.0,231.0,239.0,9.294833225174905,414.755,409.20818700652353,3803.5218526018207
52558a8c536649d21e274da275ce1c8e,13.0,297.0,313.0,9.013279609493486,424.4114285714286,419.4333050689596,3780.469656120514
23a5e733f6dfdb2ebde078d407c37031,4.0,136.0,152.0,4.507823872937817,886.884,833.2620009012004,3756.1983400743643
51ff794d843ce28fb7ca8885094979a7,6.0,86.0,90.0,8.693569087368937,442.3771428571428,430.899566008125,3746.0551468089266
741bbe09f8795badb5292473bff42ead,6.0,303.0,332.0,4.014953611542888,970.6628571428571,929.1319984397938,3730.421872735911
56a3c0b28932e67c65c14efd9214f732,7.0,290.0,297.0,5.274605284954983,703.76125,680.9928329029483,3591.968395446357
80b4fe892813996f469f44c28a0d1c10,5.0,198.0,224.0,4.318554789959211,874.5316666666666,831.7439496494052,3591.9318177780315
63d51858691a5b69e063632e054a085c,17.0,350.0,358.0,11.025274684467702,326.43105263157895,324.6422906319585,3579.270428412138
032878a36285899563510a7df4c90a58,4.0,19.0,31.0,7.66900880653912,476.26000000000005,456.7084541762879,3502.50115709882
0b9f48aef3295165238b3b14fffb981a,11.0,308.0,315.0,7.85539484969621,447.8335714285715,441.2330845318121,3466.060099746769
a48de7bf6243a47341438a0e50bb2434,11.0,295.0,303.0,8.033841838073567,431.2616666666666,425.18905575793207,3415.9016252390693
51b3b64735d01118ff09427f8082277a,11.0,234.0,248.0,8.885969372286915,387.2169230769231,382.54729890228964,3399.3035814968334
a033783169cd08fea7bcc7189b4859a5,10.0,351.0,355.0,6.652739154323453,514.7173333333333,505.1437505028248,3360.58960753194
fc9447df681b99d9d9b74ea0056aa39a,8.0,340.0,346.0,5.427787792092319,629.6966666666666,612.8567672185434,3326.4564794099742
25e5fe3494dcb7d0de25fcd6f6b499d9,15.0,344.0,367.0,9.11122281668851,367.59125,364.59989254045644,3321.9508598767857
af77cebc5448b68b026556858d60c8cc,9.0,356.0,357.0,6.013062068368647,554.493,542.3591359473484,3261.239147798195
a15d0cac4e30d80cc140913d01671552,7.0,310.0,317.0,5.0521698124091134,665.4590000000001,644.5735573352639,3256.495068246375
cda380d6b9e87ecf02a85e994622131c,11.0,349.0,356.0,7.241889545933404,455.99461538461543,449.13416928560946,3252.5800452709386
29505921638c03d201f08fd602dee9ab,17.0,336.0,355.0,10.65734272440407,306.13684210526316,304.7711241646962,3248.0503227250747
d6cef078357c829aed16490e7fee5aa2,17.0,298.0,325.0,10.676842111194551,305.42894736842106,304.0779858857349,3246.592644792037
27966f7d9c96d855e28453b6f30ff99d,2.0,8.0,12.0,5.591623804037004,638.15,577.2362668366067,3227.688050197026
4278f21f39173ebb616faa118c22384a,11.0,258.0,261.0,8.94883561299992,361.93333333333334,358.06908428657255,3204.3013733779503
607b2c3d2eb689b96ebf551fe735e203,7.0,243.0,251.0,5.8552050805007765,560.08125,544.3762760801793,3187.4347374087592
4005d0ba67cc3e24efe496d73e8da266,7.0,164.0,168.0,7.474156885404805,431.48,422.09718380495605,3154.82057264579
725d0a526feea495ab917ad7f8262765,18.0,357.0,365.0,11.513058186008166,272.0342857142857,271.4151169142701,3124.8180335962006
fa2b6d021dd700bb753b652fc7dd150b,1.0,34.0,37.0,2.7569883582475936,1437.6499999999999,1119.5492587379435,3086.5842728252333
e06bb6237a574b7216bf557a6477b10d,5.0,208.0,219.0,4.5973803224577905,702.2216666666667,671.0645306093488,3085.138868122794
75fda9ea22086bf3814ff8c3f53de8ca,28.0,348.0,355.0,18.174781415399135,167.98666666666665,168.91353144744932,3069.966512160539
1091a17e1def85799828dadf9c28f3f2,1.0,2.0,29.0,2.545382672049405,1550.18,1202.1753292713645,3059.996251892619
ba5cf27a059fb5e6357dc3e7f70dbab2,3.0,133.0,190.0,2.6444941503289905,1253.165,1144.1621322479964,3025.730065757771
5911b41fe8c5cd07a67571724f073e20,10.0,227.0,261.0,7.064168809997922,434.45583333333326,427.68560646652946,3021.243321685903
e4d423cc47a17c9ca7cea0c12e8e22be,4.0,357.0,364.0,2.697776438871953,1189.218,1110.510627370987,2995.90940563836
52cc702cd8c70995cf6ba1c762e341d4,9.0,187.0,214.0,7.398727100120974,410.69666666666654,404.1217696884301,2989.9866891426345
bfd2558c6ca88693b5721952422b5b40,8.0,318.0,326.0,5.626780033858054,542.8477777777779,529.7668537008312,2980.881555003638
e0d591d2bbc656a278b5675d9bcae6c3,11.0,325.0,337.0,7.418158795774236,406.92785714285714,401.6303673761605,2979.3578424015027
79d35a58b719d48ca15d7a573f8a2379,11.0,325.0,332.0,7.588608235625153,394.16533333333325,389.2743767903328,2954.0507416289684
970c6dfdd3bcc297b26100a96a9a06fe,12.0,368.0,368.0,7.818821542351261,380.71538461538455,376.6138480791229,2944.676468508851
2143bad4fa8805114a00a73853ac6ace,11.0,210.0,246.0,7.662536314307108,388.26916666666665,383.5660246718092,2939.088592982154
6f9ebbe87978c734ba71c0032e1f3e45,4.0,140.0,142.0,4.905499675676327,629.202,596.9604914249669,2928.389497076756
ac3537cd5ecca62eb010d5fb6f9c57d2,4.0,149.0,171.0,4.1469006454468715,745.4350000000001,703.5493620133318,2917.5493034368205
16d851d4eb417ae73e48392063df8fb6,3.0,131.0,160.0,3.2575194307895847,968.885,890.485572181572,2900.7740542192523
68f0db4c3018522a7c24607851afd762,14.0,305.0,315.0,9.849825376582471,294.268,292.9160966089452,2885.1724015882714
4e7ef9579e693b03f57e5086ae7ebd6e,6.0,287.0,287.0,4.722596901279,632.8257142857143,610.5138399323963,2883.2107686526783
ab30a46cc9f7d41f0ee382ff9dd48ad0,5.0,148.0,159.0,5.488910085379958,542.6983333333334,522.3087037662563,2866.905511784337
547bfa0c00ff82eb6f62d7a2b2cf4be7,2.0,28.0,38.0,4.38432807968172,727.115,652.5690847695947,2861.0769622875346
a8c6dd0d4f1b33878dfc2f3559e88f87,4.0,363.0,371.0,2.657352170236174,1150.2766666666666,1074.800349401692,2856.1230410531844
6d165923bdf6c3055311418ef905c58a,4.0,215.0,268.0,2.9190185269378373,1043.784,977.143633443718,2852.3003695015677
42059a7ede026d409ff0f255635d7a08,20.0,268.0,326.0,6.412358251477725,447.62299999999993,443.94368140645474,2846.7259286580784
0cb0b9356e0a85830bef4f4fda74f92b,11.0,295.0,296.0,8.29869968728972,346.28384615384607,342.9180907097003,2845.7742521385776
34bff14a781e6eabd03f59ac8f610ed7,3.0,46.0,94.0,3.262338162773211,945.8075000000001,869.8924217139595,2837.883244864658
16134915d822fe17588ae585935e1e81,22.0,356.0,362.0,14.186153916754963,199.01125,199.68468430496497,2832.757666368857
0425ae0d99a8e31c2758c25cca4ac2f7,8.0,93.0,94.0,11.31659822271131,249.62181818181816,249.2322385125241,2820.4611073931915
9b306f73da56027310069b44074ef765,4.0,261.0,276.0,3.2121924339472523,932.2379999999999,874.8528712793606,2810.1957739405916
de70325370400abbce654bb35511812d,13.0,331.0,371.0,7.246891975001914,386.129411764706,382.1881888989817,2769.676519072546
6dce8b4af8ca65025bc7f84457ae13a1,5.0,225.0,287.0,3.249562126287323,891.91125,847.9504458084108,2755.467653667463
dc5cd67f8a03b032237af26b0c92c187,9.0,268.0,278.0,6.949174576068612,401.204,394.9960763668076,2744.896691535075
0994482188804e99710b7ee6d6a9e289,3.0,12.0,25.0,6.275799318788938,458.485,435.03138526056813,2730.1696712700814
2e80c8b5d073f8310276f3ddfa2a1130,5.0,255.0,268.0,4.042077620425391,702.2800000000001,671.1189265591526,2712.714793688662
