Id,frequency,recency,T,predicted_purchases,monetary_value
7108b2bb5964a79ee1e6c8a9acde8107,16.0,272.0,279.0,12.222910088308678,170.70105263157893
ca5cc4f526fcff10e85ce2685999e2c1,9.0,84.0,92.0,12.145759717457029,139.893
4dfc88995d296a1fc700130826eb7fec,14.0,228.0,232.0,12.114442295437856,182.12124999999997
2b5b01bb4d4c38be8af78817bc6746d7,18.0,355.0,356.0,11.908207170975816,171.48473684210526
9690217261010ad90c43c1dd1d058e9c,19.0,358.0,370.0,11.884214296602226,201.66285714285715
08cf1040da9bd693c2373478bc984dac,18.0,315.0,332.0,11.826919229130889,221.33899999999994
46454d378a1332750c086fb1101c07ce,19.0,351.0,370.0,11.555262435619976,117.61238095238096
725d0a526feea495ab917ad7f8262765,18.0,357.0,365.0,11.513058186008166,272.0342857142857
a6d16066cc225139ddf01aa9fd8723aa,14.0,247.0,254.0,11.360980884936732,71.085625
0425ae0d99a8e31c2758c25cca4ac2f7,8.0,93.0,94.0,11.31659822271131,249.62181818181816
dca76db00cc59dfbcdcc97c8bbc7f9f1,19.0,339.0,364.0,11.286749372856708,797.4433333333333
db0bd3b5ec2a35041de7436c699b215a,15.0,269.0,280.0,11.285476305083092,193.761875
1351b2fa6837a95abcf62a86054bdd12,9.0,116.0,120.0,11.187083705124232,218.18400000000003
6f76cb699421405a52ad7c265af18d53,11.0,177.0,181.0,11.037193639505007,78.94769230769231
63d51858691a5b69e063632e054a085c,17.0,350.0,358.0,11.025274684467702,326.43105263157895
f11a653807d6bde53e4757f53e098c96,16.0,316.0,329.0,10.799136010037655,509.9094444444445
d6cef078357c829aed16490e7fee5aa2,17.0,298.0,325.0,10.676842111194551,305.42894736842106
29505921638c03d201f08fd602dee9ab,17.0,336.0,355.0,10.65734272440407,306.13684210526316
7863835a6120bfa52ccd665bfe03e9c8,16.0,361.0,361.0,10.520607806675132,443.8958823529412
8118d20dc12ff07a429b76488bbf8d16,17.0,354.0,370.0,10.515355456347091,170.17944444444439
580a57e214a9d4df715accd2fe7065ba,6.0,46.0,51.0,10.478246209678373,414.44428571428574
